date,country_code,holiday_name,holiday_type,is_holiday,is_holiday_day_after,is_holiday_two_days_after,is_holiday_day_before,is_holiday_two_days_before,main_activity,second_activity,third_activity
1/1/2021,CO,New Year's Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,big party,family,0
1/11/2021,CO,Epiphany,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
3/8/2021,CO,Women's Day,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,corporate events,0,0
3/20/2021,CO,March Equinox,Seasonal,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0
3/22/2021,CO,Saint Joseph's Day,National,TRUE,FALSE,FALSE,FALSE,TRUE,travel,long weekend,0
3/28/2021,CO,Palm Sunday,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
4/1/2021,CO,Maundy Thursday,National,TRUE,TRUE,FALSE,FALSE,FALSE,travel,long weekend,0
4/2/2021,CO,Good Friday,National,TRUE,FALSE,TRUE,TRUE,FALSE,travel,long weekend,0
4/4/2021,CO,Easter Sunday,Observance,TRUE,FALSE,FALSE,FALSE,TRUE,travel,long weekend,0
4/23/2021,CO,Language Day,Observance,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0
4/24/2021,CO,Children's Day,Observance,TRUE,FALSE,TRUE,TRUE,FALSE,dine out,family,0
4/26/2021,CO,Secretaries' Day,Observance,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0
4/29/2021,CO,Day of Trees,Observance,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0
5/1/2021,CO,Labor Day / May Day,National,TRUE,FALSE,FALSE,FALSE,TRUE,family,stay at home,0
5/9/2021,CO,Mother's Day,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,family,dine out,0
5/15/2021,CO,Teacher's Day,Observance,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0
5/17/2021,CO,Ascension Day,National,TRUE,FALSE,FALSE,FALSE,TRUE,travel,long weekend,0
6/7/2021,CO,Corpus Christi,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
6/14/2021,CO,Sacred Heart,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
6/20/2021,CO,Father's Day,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,family,dine out,0
7/5/2021,CO,Feast of Saint Peter and Saint Paul,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
7/20/2021,CO,Independence Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,family,stay at home,0
8/7/2021,CO,Battle of Boyacá Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,family,stay at home,0
8/16/2021,CO,Assumption of Mary,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
9/18/2021,CO,Valentine's Day,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,going out,dine out,big party
