feature,importance
hour,0.42912949343147094
net_price,0.306432610887783
trend_daily_lag2,0.07460379421633064
inflation,0.06513278239083234
day_of_week_n,0.05759743340998303
rolling_avg_quantity_30_lag2,0.0278417991730726
net_price_day_1,0.01795457386988601
quantity_ewm_alpha_095_lag_2,0.009592491920128584
net_price_day_5,0.005578809351678447
net_price_day_2,0.0030172279738998383
net_price_day_6,0.0015483609093613262
net_price_day_4,0.0007514466077130919
net_price_day_3,0.00046826772810856505
net_price_day_0,0.00035090812975163135
