feature,importance
hour,0.4797602044900146
trend_daily_lag2,0.47239966243897163
net_price_day_5,0.014895691021256867
net_price,0.012500376969247532
day_of_week_n,0.01118951512900236
net_price_day_0,0.006698354992746623
rolling_avg_quantity_30_lag2,0.0009899673581653583
quantity_ewm_alpha_095_lag_2,0.0007264202646612082
net_price_day_1,0.0005865992096491811
inflation,0.00017037903531183746
net_price_day_6,5.5002286298066424e-05
net_price_day_4,1.6437940978699682e-05
net_price_day_2,1.039410834955014e-05
net_price_day_3,9.947553465599568e-07
