feature,importance
hour,0.5300724094317031
trend_daily_lag2,0.247191295615117
net_price,0.07038448982470764
day_of_week_n,0.05937519112965627
net_price_day_1,0.026846286906205153
quantity_ewm_alpha_095_lag_2,0.024276942583104744
net_price_day_5,0.013013549776568602
net_price_day_4,0.012242027358594004
rolling_avg_quantity_30_lag2,0.009914102591334694
net_price_day_0,0.002529202993462928
net_price_day_3,0.002127974072865521
net_price_day_2,0.001048370340827503
inflation,0.0006161231030744792
net_price_day_6,0.0003620342727783065
