feature,importance
hour,0.6829796936082266
trend_daily_lag2,0.1436089833261416
day_of_week_n,0.12678958024086337
net_price,0.028055797550751466
quantity_ewm_alpha_095_lag_2,0.004249830384552768
net_price_day_0,0.0038918493113948376
rolling_avg_quantity_30_lag2,0.003498271028535586
net_price_day_5,0.002923568024289911
net_price_day_2,0.002233583877943111
net_price_day_6,0.0006092011543949294
inflation,0.0004322114719425623
net_price_day_1,0.0004136875554562235
net_price_day_3,0.00024601971042589784
net_price_day_4,6.7722755081097e-05
