feature,importance
hour,0.600706865023912
trend_daily_lag2,0.24601792049859939
day_of_week_n,0.05637155224404521
net_price_day_5,0.02567297447098221
rolling_avg_quantity_30_lag2,0.023143891067079987
quantity_ewm_alpha_095_lag_2,0.015739804398799778
net_price_day_0,0.008285383750973343
net_price,0.007463039677680164
net_price_day_1,0.0038522730115902477
net_price_day_6,0.003785344077162477
net_price_day_3,0.0032730326057552393
net_price_day_4,0.0026407504161966543
inflation,0.002347354493167331
net_price_day_2,0.00069981426405599
