feature,importance
hour,0.5776288467904103
trend_daily_lag2,0.3187528821033745
day_of_week_n,0.0606404900172277
net_price_day_5,0.021703628547874478
net_price,0.013980482216930467
quantity_ewm_alpha_095_lag_2,0.001785603288125386
net_price_day_1,0.001573082860702417
rolling_avg_quantity_30_lag2,0.0015670748175676081
net_price_day_2,0.0008369359705098083
net_price_day_4,0.0005698220183493228
inflation,0.0004464425492815249
net_price_day_3,0.00024816992563068415
net_price_day_0,0.0002266762129722312
net_price_day_6,3.9862681043608355e-05
