feature,importance
hour,0.5133505436851441
net_price,0.16882475342218728
quantity_ewm_alpha_095_lag_7,0.10144231973312175
trend_daily_lag2,0.07284540818121187
quantity_daily_lag4,0.0516059345901271
day_of_week_n,0.024116033848204325
quantity_hourly_lag48,0.023510260783194264
quantity_hourly_lag132,0.022713326128116173
net_price_day_5,0.006500898780723823
FP_quantity_daily_lag2,0.005354310318029944
net_price_day_6,0.0028269841407496405
net_price_day_3,0.0025879330068320824
net_price_day_2,0.0019744172100476147
net_price_day_1,0.0013891538555659171
net_price_day_0,0.0008627500613016744
net_price_day_4,9.497225544248904e-05
