feature,importance
hour,0.7623402458038452
inflation,0.09081099403768329
net_price,0.059732994006495746
net_price_day_5,0.037139696714241
day_of_week_n,0.031671455335197427
trend_daily_lag2,0.007622032822518193
net_price_day_0,0.0037714475659213283
quantity_ewm_alpha_095_lag_2,0.0030448541991297514
rolling_avg_quantity_30_lag2,0.001246449060552531
net_price_day_6,0.0009587227414539377
net_price_day_3,0.0007796259894473782
net_price_day_2,0.0004840825210092038
net_price_day_4,0.00025285039725799987
net_price_day_1,0.00014454880524715814
