feature,importance
hour,0.5594730719557155
net_price,0.1608587209836426
net_price_day_4,0.08789709149340004
trend_daily_lag2,0.06909127657717246
day_of_week_n,0.04300438934044035
net_price_day_2,0.022719087332982942
quantity_ewm_alpha_095_lag_2,0.019798477428583972
rolling_avg_quantity_30_lag2,0.018576516929396047
net_price_day_3,0.006892474661354682
net_price_day_1,0.006778832938427098
inflation,0.004609246870002491
net_price_day_0,0.0002133712504530803
net_price_day_5,8.744223842867662e-05
net_price_day_6,0.0
