feature,importance
hour,0.7286778826520145
day_of_week_n,0.11629593838094955
net_price,0.08582894270882253
trend_daily_lag2,0.023005001669565782
net_price_day_5,0.017406841094364064
quantity_ewm_alpha_095_lag_2,0.007404615170247899
net_price_day_4,0.006475973274421631
net_price_day_1,0.004685328711840606
net_price_day_0,0.0031195132218928357
rolling_avg_quantity_30_lag2,0.002867079797468342
net_price_day_3,0.0025099038261899138
inflation,0.0010768906074463801
net_price_day_6,0.0005235187049029464
net_price_day_2,0.00012257017987295088
