feature,importance
hour,0.6240465964255542
trend_daily_lag2,0.17535236882942715
net_price,0.09259722750676812
inflation,0.04208287550908249
day_of_week_n,0.03538947587350925
net_price_day_5,0.012465123789131838
net_price_day_1,0.008232089754902548
rolling_avg_quantity_30_lag2,0.0029579832757273845
net_price_day_0,0.002367149511354023
net_price_day_2,0.0019549070380185827
quantity_ewm_alpha_095_lag_2,0.0011711182830011328
net_price_day_3,0.0007810888096558055
net_price_day_4,0.0003914096615567276
net_price_day_6,0.00021058573231089726
