feature,importance
hour,0.6702497649762231
trend_daily_lag2,0.13999364836723543
day_of_week_n,0.11224276120063928
net_price,0.02590717194892525
net_price_day_5,0.01879311063122764
rolling_avg_quantity_30_lag2,0.008906069273797536
quantity_ewm_alpha_095_lag_2,0.006512100134925317
net_price_day_0,0.005911599662925112
inflation,0.003743538378228791
net_price_day_3,0.0033825400671050913
net_price_day_6,0.0015357231811106821
net_price_day_2,0.0015326843110891495
net_price_day_1,0.0009802070949345228
net_price_day_4,0.0003090807716330375
