feature,importance
hour,0.4633871179696214
trend_daily_lag2,0.25076077430808447
net_price,0.10258533585871371
net_price_day_5,0.06499164235750586
day_of_week_n,0.046106023991006814
quantity_ewm_alpha_095_lag_2,0.025956698964228926
rolling_avg_quantity_30_lag2,0.021283916936438697
net_price_day_0,0.00952894592213352
net_price_day_3,0.00347619941847677
net_price_day_2,0.003435062261230761
net_price_day_4,0.0031447700387448843
net_price_day_1,0.0021273851162157778
inflation,0.001922823879356
net_price_day_6,0.0012933029782423641
