feature,importance
hour,0.7926925887740964
day_of_week_n,0.10405433771348253
inflation,0.06943761229927542
net_price_day_6,0.01259132758611487
net_price_day_5,0.011022946076443196
trend_daily_lag2,0.0038067873864815593
net_price_day_0,0.0018572328700813508
net_price,0.0015340239851675819
quantity_ewm_alpha_095_lag_2,0.0012736066602597582
rolling_avg_quantity_30_lag2,0.0009014955440267986
net_price_day_4,0.000400881389400418
net_price_day_2,0.0001824607065528472
net_price_day_3,0.0001573317512816929
net_price_day_1,8.73672573355854e-05
