iter	RMSE
0	6.246658435
1	6.171924835
2	6.106975991
3	6.053932777
4	6.005445008
5	5.955987275
6	5.922531567
7	5.885083733
8	5.850684324
9	5.82186171
10	5.794078094
11	5.768703145
12	5.749412255
13	5.727804157
14	5.711285498
15	5.692551259
16	5.678122265
17	5.665333427
18	5.651518526
19	5.639851984
20	5.627094659
21	5.617732865
22	5.607739189
23	5.596969727
24	5.587660176
25	5.580470085
26	5.572189336
27	5.565757873
28	5.559729423
29	5.553791065
30	5.547838395
31	5.542581041
32	5.538994428
33	5.535721928
34	5.531883477
35	5.529006676
36	5.524639167
37	5.521372789
38	5.518492106
39	5.515947959
40	5.513645727
41	5.510651109
42	5.508187346
43	5.504042058
44	5.501684093
45	5.497228477
46	5.494116621
47	5.492061393
48	5.489524357
49	5.488412859
50	5.486073839
51	5.483974541
52	5.482780473
53	5.481587264
54	5.48030149
55	5.477560436
56	5.475488479
57	5.473995129
58	5.472779382
59	5.471129814
60	5.469667317
61	5.466834273
62	5.464986232
63	5.464085159
64	5.462152377
65	5.461143482
66	5.459328183
67	5.458118792
68	5.455445464
69	5.452817917
70	5.451844829
71	5.448334178
72	5.446858926
73	5.44498796
74	5.443958185
75	5.441972732
76	5.44106177
77	5.440204201
78	5.438550367
79	5.437646721
80	5.437132897
81	5.436440478
82	5.433094082
83	5.430892287
84	5.430200446
85	5.42954111
86	5.426518597
87	5.425561511
88	5.424679863
89	5.423531302
90	5.422672619
91	5.421659203
92	5.420467725
93	5.418866779
94	5.418168141
95	5.417604427
96	5.416600582
97	5.416038044
98	5.4132352
99	5.412284621
100	5.410412909
101	5.409337105
102	5.407744918
103	5.407429245
104	5.404934451
105	5.404037352
106	5.401190715
107	5.400767665
108	5.400131477
109	5.395691154
110	5.394918158
111	5.393593211
112	5.391609542
113	5.390319499
114	5.389230239
115	5.388483589
116	5.388015134
117	5.386745836
118	5.38397089
119	5.382034756
120	5.381689649
121	5.380387406
122	5.380160087
123	5.37976859
124	5.379125482
125	5.378203416
126	5.377601595
127	5.37648789
128	5.375996956
129	5.374693077
130	5.374137896
131	5.37235313
132	5.371716118
133	5.371270664
134	5.37021055
135	5.368702582
136	5.368097351
137	5.367912752
138	5.366135376
139	5.365230347
140	5.364735656
141	5.363715927
142	5.362494953
143	5.362048148
144	5.360913121
145	5.358360514
146	5.357690066
147	5.357444726
148	5.357236096
149	5.356537768
150	5.356379214
151	5.353724735
152	5.351732726
153	5.350719771
154	5.349976435
155	5.34770801
156	5.347285538
157	5.345314969
158	5.34490631
159	5.344722918
160	5.343665426
161	5.343278348
162	5.342436292
163	5.34225644
164	5.341459833
165	5.341197255
166	5.339351
167	5.337636038
168	5.33535408
169	5.334391691
170	5.333958781
171	5.333787672
172	5.333675947
173	5.332824733
174	5.33255178
175	5.332419623
176	5.331475406
177	5.331354938
178	5.331227216
179	5.331130366
180	5.331038599
181	5.330229262
182	5.330107227
183	5.329250883
184	5.328448432
185	5.327607958
186	5.326354712
187	5.325579367
188	5.325246751
189	5.325143109
190	5.322075526
191	5.321536889
192	5.32080112
193	5.320259672
194	5.318532261
195	5.317146121
196	5.316795266
197	5.316662808
198	5.315864489
199	5.315609898
200	5.315241772
201	5.314448693
202	5.313213393
203	5.312915811
204	5.312858456
205	5.312138044
206	5.312046643
207	5.311228108
208	5.310019877
209	5.308727383
210	5.308572062
211	5.308511535
212	5.3084453
213	5.308302252
214	5.306719692
215	5.305728383
216	5.304907503
217	5.302402347
218	5.301761441
219	5.301674793
220	5.301628703
221	5.300391314
222	5.30034693
223	5.299752082
224	5.297906157
225	5.297186627
226	5.296472713
227	5.296371243
228	5.295143807
229	5.294943554
230	5.294865486
231	5.294401376
232	5.29422895
233	5.294162723
234	5.293467226
235	5.291161899
236	5.289615478
237	5.289548139
238	5.288692157
239	5.287746993
240	5.287068763
241	5.286555335
242	5.285999036
243	5.285950185
244	5.285752141
245	5.285095541
246	5.284515137
247	5.282931147
248	5.281911464
249	5.281441875
250	5.281394815
251	5.279767117
252	5.279096326
253	5.278500204
254	5.277763111
