iter	Passed	Remaining
0	19	19495
1	40	20381
2	56	18734
3	72	17987
4	87	17421
5	104	17341
6	119	16980
7	133	16578
8	146	16111
9	159	15743
10	207	18694
11	222	18314
12	236	17938
13	250	17609
14	261	17183
15	273	16842
16	291	16854
17	303	16571
18	318	16429
19	330	16194
20	342	15976
21	354	15760
22	382	16238
23	395	16089
24	411	16030
25	426	15976
26	438	15813
27	454	15786
28	468	15674
29	479	15493
30	491	15353
31	503	15216
32	513	15052
33	530	15068
34	548	15123
35	567	15200
36	579	15087
37	591	14983
38	604	14900
39	619	14859
40	634	14848
41	648	14799
42	663	14767
43	677	14722
44	689	14636
45	704	14616
46	716	14518
47	727	14437
48	747	14515
49	763	14500
50	775	14421
51	792	14453
52	805	14396
53	820	14368
54	833	14328
55	846	14269
56	865	14316
57	889	14452
58	903	14416
59	920	14417
60	932	14358
61	946	14314
62	964	14342
63	977	14300
64	990	14247
65	1002	14192
66	1013	14117
67	1023	14032
68	1033	13945
69	1042	13849
70	1053	13780
71	1062	13689
72	1080	13723
73	1093	13684
74	1102	13597
75	1110	13503
76	1120	13425
77	1130	13367
78	1141	13312
79	1152	13250
80	1162	13183
81	1174	13152
82	1186	13107
83	1196	13051
84	1206	12987
85	1214	12912
86	1231	12922
87	1259	13053
88	1279	13100
89	1293	13080
90	1314	13128
91	1331	13138
92	1351	13181
93	1361	13124
94	1370	13058
95	1380	13001
96	1391	12950
97	1405	12939
98	1422	12949
99	1436	12925
100	1452	12925
101	1462	12875
102	1473	12828
103	1481	12762
104	1492	12718
105	1502	12671
106	1512	12626
107	1521	12570
108	1532	12526
109	1543	12488
110	1562	12512
111	1574	12484
112	1585	12447
113	1603	12460
114	1611	12405
115	1621	12357
116	1633	12327
117	1645	12296
118	1655	12253
119	1664	12207
120	1674	12166
121	1684	12124
122	1694	12084
123	1704	12043
124	1716	12014
125	1731	12010
126	1766	12145
127	1781	12139
128	1790	12086
129	1799	12044
130	1809	12002
131	1822	11986
132	1836	11974
133	1881	12159
134	1898	12163
135	1909	12131
136	1921	12102
137	1935	12087
138	1947	12064
139	1962	12053
140	1994	12149
141	2011	12155
142	2026	12142
143	2043	12146
144	2058	12140
