,date,hour,_merge
0,2021-10-18,0,left_only
1,2021-10-18,1,left_only
2,2021-10-18,2,left_only
3,2021-10-18,3,left_only
4,2021-10-18,4,left_only
5,2021-10-18,5,left_only
6,2021-10-18,6,left_only
7,2021-10-18,7,left_only
8,2021-10-18,8,left_only
9,2021-10-18,9,left_only
10,2021-10-18,10,left_only
11,2021-10-18,11,both
12,2021-10-18,12,left_only
13,2021-10-18,13,left_only
14,2021-10-18,14,left_only
15,2021-10-18,15,left_only
16,2021-10-18,16,left_only
17,2021-10-18,17,left_only
18,2021-10-18,18,left_only
19,2021-10-18,19,left_only
20,2021-10-18,20,left_only
21,2021-10-18,21,left_only
22,2021-10-18,22,left_only
23,2021-10-18,23,left_only
24,2021-10-19,0,left_only
25,2021-10-19,1,left_only
26,2021-10-19,2,left_only
27,2021-10-19,3,left_only
28,2021-10-19,4,left_only
29,2021-10-19,5,left_only
30,2021-10-19,6,both
31,2021-10-19,7,both
32,2021-10-19,8,both
33,2021-10-19,9,both
34,2021-10-19,10,both
35,2021-10-19,11,both
36,2021-10-19,12,both
37,2021-10-19,13,both
38,2021-10-19,14,both
39,2021-10-19,15,both
40,2021-10-19,16,both
41,2021-10-19,17,both
42,2021-10-19,18,both
43,2021-10-19,19,both
44,2021-10-19,20,both
45,2021-10-19,21,both
46,2021-10-19,22,both
47,2021-10-19,23,left_only
48,2021-10-20,0,left_only
49,2021-10-20,1,left_only
50,2021-10-20,2,left_only
51,2021-10-20,3,left_only
52,2021-10-20,4,both
53,2021-10-20,5,left_only
54,2021-10-20,6,both
55,2021-10-20,7,both
56,2021-10-20,8,both
57,2021-10-20,9,both
58,2021-10-20,10,both
59,2021-10-20,11,both
60,2021-10-20,12,left_only
61,2021-10-20,13,both
62,2021-10-20,14,both
63,2021-10-20,15,both
64,2021-10-20,16,both
65,2021-10-20,17,both
66,2021-10-20,18,both
67,2021-10-20,19,both
68,2021-10-20,20,both
69,2021-10-20,21,both
70,2021-10-20,22,both
71,2021-10-20,23,left_only
72,2021-10-21,0,left_only
73,2021-10-21,1,left_only
74,2021-10-21,2,left_only
75,2021-10-21,3,left_only
76,2021-10-21,4,left_only
77,2021-10-21,5,left_only
78,2021-10-21,6,left_only
79,2021-10-21,7,both
80,2021-10-21,8,both
81,2021-10-21,9,both
82,2021-10-21,10,both
83,2021-10-21,11,left_only
84,2021-10-21,12,both
85,2021-10-21,13,both
86,2021-10-21,14,left_only
87,2021-10-21,15,both
88,2021-10-21,16,both
89,2021-10-21,17,both
90,2021-10-21,18,both
91,2021-10-21,19,left_only
92,2021-10-21,20,both
93,2021-10-21,21,left_only
94,2021-10-21,22,left_only
95,2021-10-21,23,left_only
96,2021-10-22,0,left_only
97,2021-10-22,1,left_only
98,2021-10-22,2,left_only
99,2021-10-22,3,left_only
100,2021-10-22,4,left_only
101,2021-10-22,5,left_only
102,2021-10-22,6,left_only
103,2021-10-22,7,left_only
104,2021-10-22,8,left_only
105,2021-10-22,9,both
106,2021-10-22,10,both
107,2021-10-22,11,both
108,2021-10-22,12,both
109,2021-10-22,13,left_only
110,2021-10-22,14,both
111,2021-10-22,15,both
112,2021-10-22,16,left_only
113,2021-10-22,17,both
114,2021-10-22,18,both
115,2021-10-22,19,left_only
116,2021-10-22,20,left_only
117,2021-10-22,21,left_only
118,2021-10-22,22,left_only
119,2021-10-22,23,both
120,2021-10-23,0,left_only
121,2021-10-23,1,left_only
122,2021-10-23,2,left_only
123,2021-10-23,3,left_only
124,2021-10-23,4,both
125,2021-10-23,5,left_only
126,2021-10-23,6,left_only
127,2021-10-23,7,left_only
128,2021-10-23,8,both
129,2021-10-23,9,left_only
130,2021-10-23,10,both
131,2021-10-23,11,left_only
132,2021-10-23,12,left_only
133,2021-10-23,13,both
134,2021-10-23,14,left_only
135,2021-10-23,15,left_only
136,2021-10-23,16,left_only
137,2021-10-23,17,both
138,2021-10-23,18,left_only
139,2021-10-23,19,left_only
140,2021-10-23,20,left_only
141,2021-10-23,21,left_only
142,2021-10-23,22,left_only
143,2021-10-23,23,left_only
144,2021-10-24,0,left_only
145,2021-10-24,1,left_only
146,2021-10-24,2,left_only
147,2021-10-24,3,left_only
148,2021-10-24,4,both
149,2021-10-24,5,left_only
150,2021-10-24,6,left_only
151,2021-10-24,7,both
152,2021-10-24,8,both
153,2021-10-24,9,both
154,2021-10-24,10,both
155,2021-10-24,11,both
156,2021-10-24,12,left_only
157,2021-10-24,13,both
158,2021-10-24,14,left_only
159,2021-10-24,15,left_only
160,2021-10-24,16,both
161,2021-10-24,17,both
162,2021-10-24,18,left_only
163,2021-10-24,19,left_only
164,2021-10-24,20,both
165,2021-10-24,21,both
166,2021-10-24,22,both
167,2021-10-24,23,both
168,2021-10-25,0,both
169,2021-10-25,1,left_only
170,2021-10-25,2,left_only
171,2021-10-25,3,left_only
172,2021-10-25,4,left_only
173,2021-10-25,5,left_only
174,2021-10-25,6,both
175,2021-10-25,7,both
176,2021-10-25,8,both
177,2021-10-25,9,both
178,2021-10-25,10,both
179,2021-10-25,11,both
180,2021-10-25,12,both
181,2021-10-25,13,both
182,2021-10-25,14,both
183,2021-10-25,15,both
184,2021-10-25,16,both
185,2021-10-25,17,left_only
186,2021-10-25,18,both
187,2021-10-25,19,both
188,2021-10-25,20,left_only
189,2021-10-25,21,left_only
190,2021-10-25,22,left_only
191,2021-10-25,23,left_only
