,date,quantity,net_price
0,2021-10-18,1.0,10220.0
1,2021-10-19,43.0,12290.0
2,2021-10-20,39.0,12290.0
3,2021-10-21,22.0,12290.0
4,2021-10-22,14.0,10060.0
5,2021-10-23,6.0,10060.0
6,2021-10-24,20.0,10060.0
7,2021-10-25,30.0,10060.0
8,2021-10-26,42.0,8814.5
9,2021-10-27,22.0,10320.0
10,2021-10-28,37.0,10320.0
11,2021-10-29,33.0,17100.0
12,2021-10-30,0.0,10056.0
13,2021-10-31,1.0,10056.0
14,2021-11-01,28.0,12570.0
15,2021-11-02,19.0,12570.0
16,2021-11-03,0.0,12570.0
17,2021-11-04,0.0,12570.0
18,2021-11-05,0.0,12570.0
19,2021-11-06,0.0,12570.0
20,2021-11-07,0.0,12570.0
21,2021-11-08,0.0,12570.0
22,2021-11-09,0.0,12570.0
23,2021-11-10,0.0,12570.0
24,2021-11-11,0.0,12570.0
25,2021-11-12,3.0,12570.0
26,2021-11-13,4.0,13790.0
27,2021-11-14,4.0,13790.0
28,2021-11-15,32.0,13790.0
29,2021-11-16,4.0,13790.0
30,2021-11-17,34.0,13080.0
31,2021-11-18,22.0,13080.0
32,2021-11-19,13.0,12120.0
33,2021-11-20,14.0,12120.0
34,2021-11-21,12.0,12120.0
35,2021-11-22,42.0,12120.0
36,2021-11-23,21.0,12250.0
37,2021-11-24,10.0,12250.0
38,2021-11-25,12.0,17640.0
39,2021-11-26,22.0,12080.0
40,2021-11-27,5.0,12080.0
41,2021-11-28,4.0,12080.0
42,2021-11-29,27.0,12080.0
43,2021-11-30,32.01,10890.0
44,2021-12-01,23.0,11960.0
45,2021-12-02,31.0,11960.0
46,2021-12-03,32.0,10810.0
47,2021-12-04,12.0,10810.0
48,2021-12-05,19.0,10810.0
49,2021-12-06,13.0,10810.0
50,2021-12-07,5.0,12940.0
51,2021-12-08,15.0,11560.0
52,2021-12-09,28.0,11560.0
53,2021-12-10,10.0,12520.0
54,2021-12-11,6.0,13850.0
55,2021-12-12,10.0,13850.0
56,2021-12-13,24.0,13850.0
57,2021-12-14,9.0,12520.0
58,2021-12-15,14.0,14130.0
59,2021-12-16,12.0,14130.0
60,2021-12-17,12.0,14130.0
61,2021-12-18,4.0,13650.0
62,2021-12-19,6.0,13650.0
63,2021-12-20,17.0,13650.0
64,2021-12-21,27.0,11540.0
65,2021-12-22,17.0,11540.0
66,2021-12-23,17.0,10600.0
67,2021-12-24,0.0,10600.0
68,2021-12-25,0.0,10600.0
69,2021-12-26,0.0,10600.0
70,2021-12-27,15.0,10600.0
71,2021-12-28,20.02,10240.0
72,2021-12-29,24.0,13890.0
73,2021-12-30,2.0,13890.0
74,2021-12-31,0.0,14150.0
75,2022-01-01,0.0,14150.0
76,2022-01-02,0.0,14150.0
77,2022-01-03,50.0,13640.0
78,2022-01-04,19.0,13620.0
79,2022-01-05,17.0,13590.0
80,2022-01-06,21.0,13590.0
81,2022-01-07,15.0,14150.0
82,2022-01-08,4.0,14150.0
83,2022-01-09,13.0,14150.0
84,2022-01-10,34.0,14150.0
85,2022-01-11,35.0,14150.0
86,2022-01-12,42.0,11720.0
87,2022-01-13,31.0,11720.0
88,2022-01-14,29.0,11840.0
89,2022-01-15,9.0,11840.0
90,2022-01-16,29.0,11840.0
91,2022-01-17,31.0,11840.0
92,2022-01-18,34.0,11940.0
93,2022-01-19,31.0,12520.0
94,2022-01-20,19.0,12520.0
95,2022-01-21,17.0,14850.0
96,2022-01-22,10.0,14850.0
97,2022-01-23,15.0,14850.0
98,2022-01-24,22.0,14850.0
99,2022-01-25,24.0,14930.0
100,2022-01-26,13.0,15110.0
101,2022-01-27,18.0,15110.0
102,2022-01-28,11.0,15310.0
103,2022-01-29,16.0,15310.0
104,2022-01-30,12.0,15310.0
105,2022-01-31,32.0,15310.0
106,2022-02-01,20.0,15320.0
107,2022-02-02,33.0,13200.0
108,2022-02-03,14.0,13200.0
109,2022-02-04,37.0,13270.0
110,2022-02-05,8.0,13270.0
111,2022-02-06,13.0,13270.0
112,2022-02-07,38.0,13270.0
113,2022-02-08,23.0,13300.0
114,2022-02-09,22.0,14000.0
115,2022-02-10,20.0,14000.0
116,2022-02-11,23.0,14000.0
117,2022-02-12,4.0,14000.0
118,2022-02-13,17.0,14000.0
119,2022-02-14,31.0,14000.0
120,2022-02-15,20.990000000000002,14220.0
121,2022-02-16,15.0,15540.0
122,2022-02-17,12.0,15540.0
123,2022-02-18,12.0,15720.0
124,2022-02-19,5.0,15720.0
125,2022-02-20,18.0,15720.0
126,2022-02-21,31.0,15720.0
127,2022-02-22,18.0,16590.0
128,2022-02-23,15.0,16590.0
129,2022-02-24,48.0,17050.0
130,2022-02-25,9.0,17770.0
131,2022-02-26,9.0,17770.0
132,2022-02-27,13.0,17770.0
133,2022-02-28,15.0,17770.0
134,2022-03-01,9.0,18130.0
135,2022-03-02,11.0,18530.0
136,2022-03-03,13.0,18530.0
137,2022-03-04,8.0,18770.0
138,2022-03-05,3.0,18770.0
139,2022-03-06,7.0,18770.0
140,2022-03-07,22.0,18770.0
141,2022-03-08,12.0,18490.0
142,2022-03-09,9.0,18580.0
143,2022-03-10,6.0,17060.0
144,2022-03-11,11.0,16880.0
145,2022-03-12,8.0,16880.0
146,2022-03-13,15.0,16880.0
147,2022-03-14,18.0,16880.0
