,date,hour,net_price,quantity,cost,avg_bench,product_id,product_name,gross_price,day_of_month,year,month,datetime,day_of_week_n,net_price_day_0,net_price_day_1,net_price_day_2,net_price_day_3,net_price_day_4,net_price_day_5,net_price_day_6
5568,2021-10-18,0,,,,,,,,,,,,,,,,,,,
5569,2021-10-18,1,,,,,,,,,,,,,,,,,,,
5570,2021-10-18,2,,,,,,,,,,,,,,,,,,,
5571,2021-10-18,3,,,,,,,,,,,,,,,,,,,
5572,2021-10-18,4,,,,,,,,,,,,,,,,,,,
5573,2021-10-18,5,,,,,,,,,,,,,,,,,,,
5574,2021-10-18,6,,,,,,,,,,,,,,,,,,,
5575,2021-10-18,7,,,,,,,,,,,,,,,,,,,
5576,2021-10-18,8,,,,,,,,,,,,,,,,,,,
5577,2021-10-18,9,,,,,,,,,,,,,,,,,,,
5578,2021-10-18,10,,,,,,,,,,,,,,,,,,,
0,2021-10-18,11,10220.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,10220.0,18.0,2021.0,10.0,,,,,,,,,
5579,2021-10-18,12,,,,,,,,,,,,,,,,,,,
5580,2021-10-18,13,,,,,,,,,,,,,,,,,,,
5581,2021-10-18,14,,,,,,,,,,,,,,,,,,,
5582,2021-10-18,15,,,,,,,,,,,,,,,,,,,
5583,2021-10-18,16,,,,,,,,,,,,,,,,,,,
5584,2021-10-18,17,,,,,,,,,,,,,,,,,,,
5585,2021-10-18,18,,,,,,,,,,,,,,,,,,,
5586,2021-10-18,19,,,,,,,,,,,,,,,,,,,
5587,2021-10-18,20,,,,,,,,,,,,,,,,,,,
5588,2021-10-18,21,,,,,,,,,,,,,,,,,,,
5589,2021-10-18,22,,,,,,,,,,,,,,,,,,,
5590,2021-10-18,23,,,,,,,,,,,,,,,,,,,
5591,2021-10-19,0,,,,,,,,,,,,,,,,,,,
5592,2021-10-19,1,,,,,,,,,,,,,,,,,,,
5593,2021-10-19,2,,,,,,,,,,,,,,,,,,,
5594,2021-10-19,3,,,,,,,,,,,,,,,,,,,
5595,2021-10-19,4,,,,,,,,,,,,,,,,,,,
5596,2021-10-19,5,,,,,,,,,,,,,,,,,,,
1,2021-10-19,6,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
2,2021-10-19,7,12290.0,3.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
3,2021-10-19,8,12290.0,2.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
4,2021-10-19,9,12290.0,2.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
5,2021-10-19,10,12290.0,3.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
6,2021-10-19,11,12290.0,3.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
7,2021-10-19,12,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
8,2021-10-19,13,12290.0,3.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
9,2021-10-19,14,12290.0,4.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
10,2021-10-19,15,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
11,2021-10-19,16,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
12,2021-10-19,17,12290.0,2.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
13,2021-10-19,18,12290.0,10.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
14,2021-10-19,19,12290.0,3.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
15,2021-10-19,20,12290.0,2.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
16,2021-10-19,21,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,19.0,2021.0,10.0,,,,,,,,,
17,2021-10-19,22,9950.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,9950.0,19.0,2021.0,10.0,,,,,,,,,
5597,2021-10-19,23,,,,,,,,,,,,,,,,,,,
5598,2021-10-20,0,,,,,,,,,,,,,,,,,,,
5599,2021-10-20,1,,,,,,,,,,,,,,,,,,,
5600,2021-10-20,2,,,,,,,,,,,,,,,,,,,
5601,2021-10-20,3,,,,,,,,,,,,,,,,,,,
18,2021-10-20,4,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
5602,2021-10-20,5,,,,,,,,,,,,,,,,,,,
19,2021-10-20,6,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
20,2021-10-20,7,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
21,2021-10-20,8,12290.0,2.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
22,2021-10-20,9,12290.0,2.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
23,2021-10-20,10,12290.0,2.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
24,2021-10-20,11,12290.0,4.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
5603,2021-10-20,12,,,,,,,,,,,,,,,,,,,
25,2021-10-20,13,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
26,2021-10-20,14,12290.0,4.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
27,2021-10-20,15,12290.0,3.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
28,2021-10-20,16,12290.0,4.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
29,2021-10-20,17,12290.0,3.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
30,2021-10-20,18,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
31,2021-10-20,19,12290.0,2.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
32,2021-10-20,20,12290.0,2.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
33,2021-10-20,21,12290.0,5.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
34,2021-10-20,22,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,20.0,2021.0,10.0,,,,,,,,,
5604,2021-10-20,23,,,,,,,,,,,,,,,,,,,
5605,2021-10-21,0,,,,,,,,,,,,,,,,,,,
5606,2021-10-21,1,,,,,,,,,,,,,,,,,,,
5607,2021-10-21,2,,,,,,,,,,,,,,,,,,,
5608,2021-10-21,3,,,,,,,,,,,,,,,,,,,
5609,2021-10-21,4,,,,,,,,,,,,,,,,,,,
5610,2021-10-21,5,,,,,,,,,,,,,,,,,,,
5611,2021-10-21,6,,,,,,,,,,,,,,,,,,,
35,2021-10-21,7,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,21.0,2021.0,10.0,,,,,,,,,
36,2021-10-21,8,12290.0,1.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,21.0,2021.0,10.0,,,,,,,,,
37,2021-10-21,9,12290.0,2.0,,,-1.0731904915897711e+18,Champiñón Blanco Paris 500 gr Bandeja,12290.0,21.0,2021.0,10.0,,,,,,,,,
