Unnamed: 0,region_code,order_submited_date,order_submited_datetime,parent_category,category,product_id,product_name,cost,benchmark,median_bench,avg_bench,max_bench,gross_price,net_price,quantity,product_step_unit,benchmark_count
286115,BOG,2023-10-16,2023-10-16 00:06,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,3.0,1.0,1.0
85345,BOG,2023-10-16,2023-10-16 00:08,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1500.0,1.0,1.0,1.0
21280,BOG,2023-10-16,2023-10-16 00:08,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2154.17,2040.0,10.0,5.0,1.0
140251,BOG,2023-10-16,2023-10-16 00:20,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3880.0,2.5,2.5,1.0
66575,BOG,2023-10-16,2023-10-16 00:27,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,2.0,1.0,1.0
125553,BOG,2023-10-16,2023-10-16 00:28,Frutas & verduras,Verduras,-1160551012065768576,Champiñón Blanco Paris 1Kg Bandeja,22328.3075,23000.0,23000.0,23000.0,23000.0,23010.0,23010.0,1.0,1.0,1.0
220739,BOG,2023-10-16,2023-10-16 00:32,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3770.0,3770.0,4.0,1.0,1.0
173109,BOG,2023-10-16,2023-10-16 00:32,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
277537,BOG,2023-10-16,2023-10-16 00:32,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1380.0,1380.0,3.0,3.0,1.0
19306,BOG,2023-10-16,2023-10-16 00:32,Frutas & verduras,Verduras,353982459564085093,Rabano Estándar Kg,3064.8017,4000.0,4000.0,4000.0,4000.0,4320.0,4320.0,1.0,0.5,1.0
316127,BOG,2023-10-16,2023-10-16 00:38,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3770.0,3668.21,25.0,1.0,1.0
283734,BOG,2023-10-16,2023-10-16 00:40,Frutas & verduras,Verduras,353982459564085093,Rabano Estándar Kg,3064.8017,4000.0,4000.0,4000.0,4000.0,4320.0,4320.0,2.0,0.5,1.0
229989,BOG,2023-10-16,2023-10-16 00:40,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1459.5,1.0,1.0,1.0
305797,BOG,2023-10-16,2023-10-16 00:40,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1250.0,1216.25,5.0,5.0,1.0
201780,BOG,2023-10-16,2023-10-16 00:40,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2154.17,2040.0,15.0,5.0,1.0
115020,BOG,2023-10-16,2023-10-16 00:46,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3880.0,5.0,2.5,1.0
155668,BOG,2023-10-16,2023-10-16 00:46,Frutas & verduras,Verduras,5533752035170569793,Cebolla Cabezona Roja Limpia Tamaño Mixto Kg (Tamaño 🏠),6373.9778,3500.0,3500.0,3500.0,3500.0,3843.72,3640.0,1.0,1.0,1.0
219269,BOG,2023-10-16,2023-10-16 00:51,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3770.0,3770.0,4.0,1.0,1.0
61718,BOG,2023-10-16,2023-10-16 01:01,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,2.0,1.0,1.0
143572,BOG,2023-10-16,2023-10-16 01:01,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3880.0,2.5,2.5,1.0
23408,BOG,2023-10-16,2023-10-16 01:01,Frutas & verduras,Frutas,-4543321951091465013,Fresa Pequeño Kg,4018.1125,5714.0,5714.0,5714.0,5714.0,6570.0,6570.0,3.0,3.0,1.0
190004,BOG,2023-10-16,2023-10-16 01:01,Frutas & verduras,Verduras,-1160551012065768576,Champiñón Blanco Paris 1Kg Bandeja,22328.3075,23000.0,23000.0,23000.0,23000.0,23010.0,23010.0,1.0,1.0,1.0
190005,BOG,2023-10-16,2023-10-16 01:01,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1500.0,1.0,1.0,1.0
64024,BOG,2023-10-16,2023-10-16 01:01,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
231495,BOG,2023-10-16,2023-10-16 01:11,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1500.0,1.0,1.0,1.0
73672,BOG,2023-10-16,2023-10-16 01:15,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1459.5,1.0,1.0,1.0
92072,BOG,2023-10-16,2023-10-16 01:17,Frutas & verduras,Tubérculos,7888420588372063556,Papa Criolla Sin Lavar Tamaño Mixto Kg,1899.345,2333.0,2333.0,2333.0,2333.0,2510.0,2510.0,4.0,4.0,1.0
311705,BOG,2023-10-16,2023-10-16 01:17,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,3.0,1.0,1.0
160615,BOG,2023-10-16,2023-10-16 01:17,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1500.0,1.0,1.0,1.0
183410,BOG,2023-10-16,2023-10-16 01:22,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3770.0,3770.0,4.0,1.0,1.0
88439,BOG,2023-10-16,2023-10-16 01:22,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1380.0,1380.0,3.0,3.0,1.0
119425,BOG,2023-10-16,2023-10-16 01:23,Frutas & verduras,Verduras,-1160551012065768576,Champiñón Blanco Paris 1Kg Bandeja,22328.3075,23000.0,23000.0,23000.0,23000.0,23010.0,23010.0,1.0,1.0,1.0
212729,BOG,2023-10-16,2023-10-16 01:24,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
308342,BOG,2023-10-16,2023-10-16 01:27,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,2.0,1.0,1.0
162887,BOG,2023-10-16,2023-10-16 01:27,Frutas & verduras,Tubérculos,7888420588372063556,Papa Criolla Sin Lavar Tamaño Mixto Kg,1899.345,2333.0,2333.0,2333.0,2333.0,2510.0,2510.0,4.0,4.0,1.0
236899,BOG,2023-10-16,2023-10-16 01:27,Frutas & verduras,Verduras,-1073190491589771159,Champiñón Blanco Paris 500 gr Bandeja,12457.3328,12000.0,12000.0,12000.0,12000.0,12440.0,12440.0,1.0,1.0,1.0
236900,BOG,2023-10-16,2023-10-16 01:27,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1459.5,1.0,1.0,1.0
73673,BOG,2023-10-16,2023-10-16 01:32,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1500.0,1.0,1.0,1.0
158352,BOG,2023-10-16,2023-10-16 01:32,Frutas & verduras,Tubérculos,7888420588372063556,Papa Criolla Sin Lavar Tamaño Mixto Kg,1899.345,2333.0,2333.0,2333.0,2333.0,2510.0,2510.0,4.0,4.0,1.0
183411,BOG,2023-10-16,2023-10-16 01:33,Frutas & verduras,Verduras,-1160551012065768576,Champiñón Blanco Paris 1Kg Bandeja,22328.3075,23000.0,23000.0,23000.0,23000.0,23010.0,23010.0,1.0,1.0,1.0
286111,BOG,2023-10-16,2023-10-16 01:55,Frutas & verduras,Frutas,1260412819932663981,Fresa Selecta (Grande) Kg,8875.2016,10714.0,10714.0,10714.0,10714.0,11410.0,11410.0,1.0,1.0,1.0
111577,BOG,2023-10-16,2023-10-16 01:56,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3290.0,3290.0,8.0,1.0,1.0
281504,BOG,2023-10-16,2023-10-16 01:59,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
19307,BOG,2023-10-16,2023-10-16 02:01,Frutas & verduras,Tubérculos,-8910485076695139605,Papa Criolla Segunda Mixta Kg,1614.5149,2698.0,2698.0,2698.0,2698.0,2710.0,2710.0,10.0,10.0,1.0
308339,BOG,2023-10-16,2023-10-16 02:05,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,3.0,1.0,1.0
281505,BOG,2023-10-16,2023-10-16 02:11,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
145016,BOG,2023-10-16,2023-10-16 02:20,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
21255,BOG,2023-10-16,2023-10-16 02:34,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,3.0,1.0,1.0
125552,BOG,2023-10-16,2023-10-16 02:34,Frutas & verduras,Tubérculos,-368218666129834277,Papa Sabanera Semi (Mediana) Kg,4000.6246,5626.0,5626.0,5626.0,5626.0,5490.0,5490.0,2.5,2.5,1.0
288328,BOG,2023-10-16,2023-10-16 02:39,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3880.0,2.5,2.5,1.0
73674,BOG,2023-10-16,2023-10-16 02:39,Frutas & verduras,Verduras,-1160551012065768576,Champiñón Blanco Paris 1Kg Bandeja,22328.3075,23000.0,23000.0,23000.0,23000.0,23010.0,23010.0,1.0,1.0,1.0
286112,BOG,2023-10-16,2023-10-16 02:46,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
226504,BOG,2023-10-16,2023-10-16 02:46,Frutas & verduras,Tubérculos,7888420588372063556,Papa Criolla Sin Lavar Tamaño Mixto Kg,1899.345,2333.0,2333.0,2333.0,2333.0,2510.0,2510.0,8.0,4.0,1.0
